Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Hit_Count	Bg_Count	Gene_Ratio	minus_log10_fdr	Term_clean	Term_wrapped
GO_Biological_Process_2023	Organonitrogen Compound Catabolic Process (GO:1901565)	1/78	0.0569487684566197	0.0691418297130748	0	0	18.467532467532468	52.920620399451245	CHEK2	1	78	0.01282051282051282	1.1602591318260465	Organonitrogen Compound Catabolic Process	Organonitrogen Compound Catabolic Process
GO_Biological_Process_2023	Regulation Of Innate Immune Response (GO:0045088)	1/78	0.0569487684566197	0.0691418297130748	0	0	18.467532467532468	52.920620399451245	CASP8	1	78	0.01282051282051282	1.1602591318260465	Regulation Of Innate Immune Response	Regulation Of Innate Immune Response
GO_Biological_Process_2023	Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903322)	1/79	0.0576588245288115	0.0698280236755959	0	0	18.22985347985348	52.013636218945	BRCA1	1	79	0.012658227848101266	1.1559702495088797	Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal	"Positive Regulation Of Protein Modification
By Small Protein Conjugation Or Removal"
GO_Biological_Process_2023	Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088)	1/81	0.0590774399971135	0.0711883151965218	0	0	17.772321428571427	50.27622944918878	CDKN2A	1	81	0.012345679012345678	1.1475912853255654	Negative Regulation Of NF-kappaB Transcription Factor Activity	"Negative Regulation Of NF-kappaB
Transcription Factor Activity"
GO_Biological_Process_2023	Spindle Assembly (GO:0051225)	1/81	0.0590774399971135	0.0711883151965218	0	0	17.772321428571427	50.27622944918878	CHEK2	1	81	0.012345679012345678	1.1475912853255654	Spindle Assembly	Spindle Assembly
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234)	1/82	0.0597860000469653	0.0718624738719134	0	0	17.552028218694886	49.44377841836203	RB1	1	82	0.012195121951219513	1.143497836248712	Negative Regulation Of Apoptotic Signaling Pathway	"Negative Regulation Of Apoptotic Signaling
Pathway"
GO_Biological_Process_2023	Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436)	1/83	0.0604940620743171	0.0723526995529053	0	0	17.337108013937282	48.63422992112451	MDM2	1	83	0.012048192771084338	1.1405452602732316	Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process	"Positive Regulation Of Proteasomal Ubiquitin-
Dependent Protein Catabolic Process"
GO_Biological_Process_2023	Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000060)	1/83	0.0604940620743171	0.0723526995529053	0	0	17.337108013937282	48.63422992112451	MDM2	1	83	0.012048192771084338	1.1405452602732316	Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process	"Positive Regulation Of Ubiquitin-Dependent
Protein Catabolic Process"
GO_Biological_Process_2023	Positive Regulation Of Protein Ubiquitination (GO:0031398)	1/84	0.0612016264045237	0.0727804639047924	0	0	17.12736660929432	47.84669475315345	BRCA1	1	84	0.011904761904761904	1.13798518053531	Positive Regulation Of Protein Ubiquitination	Positive Regulation Of Protein Ubiquitination
GO_Biological_Process_2023	Regulation Of Interleukin-1 Beta Production (GO:0032651)	1/84	0.0612016264045237	0.0727804639047924	0	0	17.12736660929432	47.84669475315345	CASP8	1	84	0.011904761904761904	1.13798518053531	Regulation Of Interleukin-1 Beta Production	Regulation Of Interleukin-1 Beta Production
GO_Biological_Process_2023	Macromolecule Catabolic Process (GO:0009057)	1/85	0.0619086933629976	0.0727804639047924	0	0	16.922619047619047	47.08032820576258	CHEK2	1	85	0.011764705882352941	1.13798518053531	Macromolecule Catabolic Process	Macromolecule Catabolic Process
GO_Biological_Process_2023	Mitotic Spindle Organization (GO:0007052)	1/85	0.0619086933629976	0.0727804639047924	0	0	16.922619047619047	47.08032820576258	CHEK2	1	85	0.011764705882352941	1.13798518053531	Mitotic Spindle Organization	Mitotic Spindle Organization
GO_Biological_Process_2023	Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	1/85	0.0619086933629976	0.0727804639047924	0	0	16.922619047619047	47.08032820576258	ATM	1	85	0.011764705882352941	1.13798518053531	Nuclear-Transcribed mRNA Catabolic Process	Nuclear-Transcribed mRNA Catabolic Process
GO_Biological_Process_2023	Regulation Of Kinase Activity (GO:0043549)	1/85	0.0619086933629976	0.0727804639047924	0	0	16.922619047619047	47.08032820576258	RB1	1	85	0.011764705882352941	1.13798518053531	Regulation Of Kinase Activity	Regulation Of Kinase Activity
GO_Biological_Process_2023	mRNA Metabolic Process (GO:0016071)	1/85	0.0619086933629976	0.0727804639047924	0	0	16.922619047619047	47.08032820576258	TP53	1	85	0.011764705882352941	1.13798518053531	mRNA Metabolic Process	mRNA Metabolic Process
GO_Biological_Process_2023	Positive Regulation Of Cell Adhesion (GO:0045785)	1/88	0.0640269132494826	0.0750875235675198	0	0	16.336617405582924	44.90040493421904	ATM	1	88	0.011363636363636364	1.1244322187337217	Positive Regulation Of Cell Adhesion	Positive Regulation Of Cell Adhesion
GO_Biological_Process_2023	Cellular Response To Chemical Stress (GO:0062197)	1/89	0.0647319939567834	0.0755467822933888	0	0	16.150162337662337	44.211064597664894	ATM	1	89	0.011235955056179775	1.1217840285054335	Cellular Response To Chemical Stress	Cellular Response To Chemical Stress
GO_Biological_Process_2023	Positive Regulation Of DNA Repair (GO:0045739)	1/89	0.0647319939567834	0.0755467822933888	0	0	16.150162337662337	44.211064597664894	BRCA1	1	89	0.011235955056179775	1.1217840285054335	Positive Regulation Of DNA Repair	Positive Regulation Of DNA Repair
GO_Biological_Process_2023	Positive Regulation Of Proteasomal Protein Catabolic Process (GO:1901800)	1/90	0.0654365789191557	0.0760010386482724	0	0	15.967897271268058	43.53924818748468	MDM2	1	90	0.011111111111111112	1.119180472506958	Positive Regulation Of Proteasomal Protein Catabolic Process	"Positive Regulation Of Proteasomal Protein
Catabolic Process"
GO_Biological_Process_2023	Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730)	1/90	0.0654365789191557	0.0760010386482724	0	0	15.967897271268058	43.53924818748468	TP53	1	90	0.011111111111111112	1.119180472506958	Regulation Of Peptidyl-Tyrosine Phosphorylation	"Regulation Of Peptidyl-Tyrosine
Phosphorylation"
GO_Biological_Process_2023	B Cell Activation (GO:0042113)	1/92	0.0668442628656717	0.0774493622626292	0	0	15.615384615384617	42.24570226347746	CASP8	1	92	0.010869565217391304	1.1109821539791631	B Cell Activation	B Cell Activation
GO_Biological_Process_2023	Positive Regulation Of Cellular Component Biogenesis (GO:0044089)	1/93	0.0675473625075365	0.0780763278864091	0	0	15.444875776397517	41.62280131809552	BAX	1	93	0.010752688172043012	1.107480620753403	Positive Regulation Of Cellular Component Biogenesis	"Positive Regulation Of Cellular Component
Biogenesis"
GO_Biological_Process_2023	Peptidyl-Lysine Modification (GO:0018205)	1/94	0.0682499676931499	0.0786997235121968	0	0	15.278033794162829	41.01507826972229	MDM2	1	94	0.010638297872340425	1.104026793401268	Peptidyl-Lysine Modification	Peptidyl-Lysine Modification
GO_Biological_Process_2023	Positive Regulation Of Supramolecular Fiber Organization (GO:1902905)	1/96	0.0696536959639779	0.0801266860492538	0	0	14.954887218045112	39.84310237624529	RB1	1	96	0.010416666666666666	1.0962228188249756	Positive Regulation Of Supramolecular Fiber Organization	"Positive Regulation Of Supramolecular Fiber
Organization"
GO_Biological_Process_2023	Regulation Of Defense Response (GO:0031347)	1/97	0.070354819690786	0.0807405311689497	0	0	14.798363095238097	39.277874337242054	CASP8	1	97	0.010309278350515464	1.0929083978166505	Regulation Of Defense Response	Regulation Of Defense Response
GO_Biological_Process_2023	Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558)	1/98	0.0710554502653649	0.0813508955532206	0	0	14.645066273932253	38.72587137976069	CDKN1A	1	98	0.01020408163265306	1.0896376617599293	Negative Regulation Of Macromolecule Biosynthetic Process	"Negative Regulation Of Macromolecule
Biosynthetic Process"
